dataset,period,rows,hcps,strict_rate,loose_rate,strict_positives,followup_missing_rate,calls_mean,samples_mean,recency_mean,nbrx_mean,patient_volume_mean,preferred_share
train,2024-01,2024,2024,0.0741106719367589,0.2924901185770751,150.0,0.0,4.416501976284585,3.91897233201581,3.977766798418972,9.04358695652174,113.2336956521739,0.22233201581027667
train,2024-02,2021,2021,0.07966353290450272,0.28599703117268677,161.0,0.0,4.295398317664523,3.8743196437407224,3.980702622464127,9.012187036120732,112.9737753587333,0.23998020781791193
train,2024-03,2019,2019,0.07379891035165924,0.30460624071322434,149.0,0.0,4.310054482417038,3.901931649331352,4.021297672114908,9.018712233779098,113.0297176820208,0.21545319465081725
train,2024-04,2022,2022,0.07270029673590504,0.2873392680514342,147.0,0.0,4.33135509396637,3.927299703264095,3.986152324431256,9.025464886251237,113.08407517309594,0.2215628090999011
train,2024-05,2036,2036,0.07367387033398821,0.28094302554027506,150.0,0.0,4.342337917485265,3.9336935166994107,3.9921414538310414,9.03152750491159,113.13555992141454,0.22593320235756384
train,2024-06,2018,2018,0.06491575817641229,0.2720515361744301,131.0,0.0,4.251238850346878,3.770564915758176,4.013379583746284,9.050302279484637,113.28741328047572,0.2309217046580773
train,2024-07,2031,2031,0.0654849827671098,0.26637124569177745,133.0,0.0,4.414081733136386,3.9793205317577547,3.9256523879862137,9.04751846381093,113.26538650910881,0.21811915312653865
train,2024-08,2038,2038,0.0549558390578999,0.2433758586849853,112.0,0.0,4.285574092247301,3.772325809617272,4.0103042198233565,9.002482826300295,112.89744847890088,0.23601570166830227
train,2024-09,2012,2012,0.05715705765407555,0.23757455268389663,115.0,0.0,4.308648111332008,3.89065606361829,3.9612326043737576,9.046625248508947,113.25745526838966,0.22514910536779323
train,2024-10,2031,2031,0.06646971935007386,0.24027572624322993,135.0,0.0,4.270802560315116,3.7863121614967996,4.027080256031511,9.002259970457903,112.89463318562285,0.22008862629246675
train,2024-11,2030,2030,0.06403940886699508,0.25517241379310346,130.0,0.0,4.250738916256157,3.884729064039409,4.002955665024631,9.045916256157636,113.24975369458129,0.20689655172413793
train,2024-12,2015,2015,0.0630272952853598,0.26352357320099257,127.0,0.0,4.309181141439206,3.8486352357320097,3.973697270471464,9.045533498759305,113.24764267990075,0.22729528535980148
train,2025-01,2023,2023,0.07464162135442412,0.2669303015323777,151.0,0.0,4.308947108255067,3.8620860108749384,3.9891250617894216,9.059505684626792,113.36480474542758,0.22095897182402371
train,2025-02,2023,2023,0.07810182896688087,0.3069698467622343,158.0,0.0,4.246663371230845,3.7928818586258033,4.038556599110232,9.050415224913495,113.28769154720712,0.22985664854176965
train,2025-03,2027,2027,0.0833744449925999,0.2836704489393192,169.0,0.0,4.26640355204736,3.8436112481499753,4.000493339911198,9.017863838184509,113.02417365564874,0.2067094227923039
train,2025-04,2038,2038,0.07556427870461237,0.2772325809617272,154.0,0.0,4.340529931305201,3.9352306182531893,3.979882237487733,9.060426889106969,113.36997055937194,0.22178606476938176
train,2025-05,2028,2028,0.0611439842209073,0.259861932938856,124.0,0.0,4.368836291913215,4.0325443786982245,3.9610453648915187,9.066706114398421,113.42209072978304,0.22435897435897437
train,2025-06,2014,2014,0.05809334657398212,0.2586891757696127,117.0,0.0,4.217974180734856,3.8286991062562064,4.0213505461767625,9.004200595829195,112.91161866931479,0.22542204568023833
train,2025-07,2025,2025,0.07407407407407407,0.29333333333333333,150.0,0.0,3.188148148148148,2.8009876543209877,4.571358024691358,9.01599012345679,113.00592592592592,0.4093827160493827
train,2025-08,2012,2012,0.07256461232604373,0.26938369781312127,146.0,0.0,3.146123260437376,2.762425447316103,4.611332007952286,9.02509940357853,113.07852882703777,0.40308151093439365
train,2025-09,2038,2038,0.0760549558390579,0.2644749754661433,155.0,0.0,3.1059862610402353,2.7664376840039253,4.594210009813542,9.046908734052993,113.25858684985279,0.4170755642787046
train,2025-10,2021,2021,0.07867392380009897,0.26224641266699655,159.0,0.0,3.0811479465611082,2.846610588817417,4.658584858980703,9.032963879267689,113.14547253834735,0.42008906481939634
train,2025-11,2017,2017,0.07833415964303421,0.270699058006941,158.0,0.0,3.0629647992067426,2.7288051561725335,4.657907783837382,9.05001983143282,113.28606841844324,0.40555280118988596
train,2025-12,2022,2022,0.07072205736894165,0.2705242334322453,143.0,0.0,3.1102868447082095,2.740850642927794,4.62215628090999,9.025474777448071,113.08407517309594,0.39218595450049454
score,2026-01,2125,2125,,,,0.8625882352941177,3.078588235294118,2.8517647058823528,16.57035294117647,3.750569411764706,126.64658823529412,0.4211764705882353
score,2026-02,2111,2111,,,,0.8858360966366651,3.081004263382283,2.790620558976788,16.594031264803412,3.7407579346281383,126.42918048318333,0.3950734249171009
score,2026-03,2135,2135,,,,0.8843091334894614,3.0903981264637004,2.7592505854800935,16.596252927400467,3.74696018735363,126.56393442622951,0.39953161592505854
score,2026-04,2119,2119,,,,0.8645587541293063,3.097215667767815,2.791411042944785,16.508258612553092,3.7557574327512975,126.76120811703633,0.4252005663048608
score,2026-05,2112,2112,,,,0.881155303030303,3.116950757575758,2.7926136363636362,16.47159090909091,3.760350378787879,126.86268939393939,0.40625
score,2026-06,2121,2121,,,,0.8877887788778878,3.0546911834040547,2.715228665723715,16.596416784535595,3.7397265440829797,126.4054691183404,0.4101838755304102
