feature,category,train_share,recent_train_share,score_share
specialty,Internal Medicine,0.3076463929196254,0.30704573547589614,0.31635620529749275
specialty,Primary Care,0.2670165688998662,0.26716110424392253,0.2591369959915114
specialty,Cardiology,0.1654214263661624,0.16547177585496498,0.16702035683408
specialty,Endocrinology,0.16498919419573943,0.16547177585496498,0.16332625952998506
specialty,Nephrology,0.09492641761860657,0.09484960857025133,0.09416018234693076
region,North,0.24005351445919523,0.23988463123197362,0.2427886504755168
region,West,0.22130287125656067,0.22068397198187062,0.20914878566375855
region,East,0.19921786559637747,0.19991759373712403,0.2092273834787393
region,South,0.17645363795410107,0.17618459002884218,0.1809321700856716
region,Central,0.16297211073376555,0.16332921302018955,0.15790301029631376
territory_id,T-N30,0.0070186271482968,0.007004532344458179,0.005816238308575022
territory_id,T-W29,0.006257075228980138,0.006180469715698393,0.006052031753517252
territory_id,T-N64,0.006236492744674282,0.006180469715698393,0.004637271083863868
territory_id,T-C26,0.006215910260368426,0.006180469715698393,0.005423249233671304
territory_id,T-N16,0.006195327776062571,0.006427688504326329,0.005973433938536508
territory_id,T-N71,0.006071832870227436,0.006180469715698393,0.005894836123555765
territory_id,T-N58,0.005845425542863023,0.005850844664194479,0.00510885797374833
territory_id,T-E34,0.005721930637027889,0.005686032138442522,0.005187455788729073
territory_id,T-N12,0.005680765668416178,0.005850844664194479,0.005659042678613535
territory_id,T-W67,0.005639600699804467,0.005850844664194479,0.006366423013440227
territory_id,T-E71,0.005598435731192755,0.005438813349814586,0.006366423013440227
territory_id,T-C42,0.005372028403828342,0.005438813349814586,0.005659042678613535
territory_id,T-E76,0.005330863435216631,0.005438813349814586,0.006287825198459483
territory_id,T-W16,0.005310280950910775,0.005274000824062629,0.004244282008960151
territory_id,T-N25,0.005269115982299064,0.005274000824062629,0.0055018470486520475
territory_id,T-W79,0.005248533497993208,0.00519159456118665,0.004951662343786843
territory_id,T-E58,0.005227951013687352,0.00519159456118665,0.006916607718305431
territory_id,T-N73,0.005186786045075641,0.005109188298310672,0.003694097304094946
territory_id,T-N37,0.005063291139240506,0.004944375772558714,0.0055018470486520475
territory_id,T-N10,0.004878048780487805,0.004861969509682736,0.00377269511907569
territory_id,T-N15,0.004836883811876093,0.004779563246806757,0.00377269511907569
territory_id,T-N26,0.004816301327570238,0.004779563246806757,0.0055018470486520475
territory_id,T-N70,0.004816301327570238,0.004779563246806757,0.00534465141869056
territory_id,T-N77,0.004795718843264382,0.004779563246806757,0.005423249233671304
